Слово:              Число появлений в тексте:
помогай             1
нюхай               2
ступай              1
давай               1
послушай            2
погадай             1
подышал             1
сказал              4
думал               3
поехал              1
знал                2
пробовал            2
перечитал           1
сделал              2
посоветовал         1
пробегал            2
тосковал            1
писал               1
почувствовал        1
подумал             2
раздумывал          1
приставал           1
упрашивал           1
стал                4
качал               1
рисовал             1
занимал             1
бросал              1
колебал             1
продолжал           2
пробурчал           1
высказывал          1
оказывал            1
завизжал            1
побежал             3
дал                 1
выдал               1
услышал             1
перебежал           1
погнал              1
зачмокал            1
услыхал             1
бежал               1
начал               1
увязал              1
нажал               1
увидал              1
устал               1
подействовал        1
придал              1
последовал          1
комнат              1
богат               1
ехать               1
скучать             1
рассказывать        2
наблюдать           1
обозначать          1
понимать            1
целовать            1
пятнадцать          2
облобызать          1
писать              2
подписать           1
печать              1
давать              1
знать               3
выжать              1
любопытствовать     1
погадать            1
гукать              1
сделать             1
кричать             1
перепрыгивать       1
разобрать           1
послушать           1
обедать             1
делать              1
попытать            1
раскладывать        1
описать             1
расписаться         1
считаться           1
ориентироваться     1
подписываться       1
задыхаться          1
околачиваться       1
прохлаждаться       1
убеждаю             1
знаю                6
пробовал            2
посоветовал         1
тосковал            1
почувствовал        1
раздумывал          1
приставал           1
упрашивал           1
рисовал             1
высказывал          1
оказывал            1
подействовал        1
последовал          1
вошел               1
успел               3
умел                2
увидел              1
смотрел             1
сидел               1
пошел               3
видел               1
ушел                1
вышел               1
прошел              1
дошел               1
розовел             1
синел               1
вылетел             1
шел                 1
редел               1
темнел              1
глядел              1
подошел             1
пел                 1
зашел               1
достает             1
кладет              2
начинает            1
отвечает            1
печет               2
присохнет           1
нюхает              2
пропивает           1
может               8
знает               2
нажимает            1
будет               8
справляет           1
живет               4
потеплеет           1
ведает              1
скрывает            1
ляжет               1
бывает              1
уйдет               1
выйдет              1
изображает          1
щеголяет            1
пытает              1
успеет              1
пишете              1
думаете             2
скажете             1
свете               2
знаете              2
предмете            1
просвете            1
дойдете             1
повернете           1
полагается          1
считается           1
касается            1
кажется             1
найдется            1
запечатлеть         1
уметь               1
реветь              1
гореть              1
сидеть              1
болеть              1
посмотреть          1
терпеть             1
рассмотреть         1
посидеть            1
думаешь             2
можешь              1
пишешь              1
будешь              5
пойдешь             1
хочешь              1
знаешь              1
сбросил             1
спросил             9
ответил             3
предложил           1
говорил             2
чертил              1
ходил               1
переспросил         1
уронил              1
вскочил             1
корил               1
выразил             1
ударил              1
отскочил            1
походил             1
выскочил            1
отворил             1
заметил             1
поддразнил          1
поговорил           1
значит              2
лежит               1
болит               3
приходит            2
говорит             3
стоит               1
скулит              1
ходит               1
сидит               1
боронит             1
выгонит             1
происходит          1
гонит               3
выходит             2
ломит               1
клонит              1
слышите             1
увидите             1
видите              3
подождите           1
жите                1
идите               5
приходите           1
глядите             1
находится           1
чудится             1
мчится              1
терпится            1
говорится           1
протопить           1
ставить             1
пить                3
ловить              1
заметить            1
выучить             2
представить         1
учить               1
отбросить           1
ходить              1
помнить             1
попросить           1
скулить             1
почистить           1
обходить            1
направить           1
перехватить         1
расспросить         1
смягчить            1
жить                1
разговориться       1
познакомиться       3
охотиться           1
понадобиться        1
учиться             1
поучиться           1
добиться            1
напиться            1
случиться           1
проводишь           1
получишь            1
ярмола              30
забросила           1
была                9
наступила           1
села                2
растрогала          1
носила              1
iярмола             1
плесневела          1
кубла               2
подливала           1
вязала              1
просила             1
пришла              1
заинтересовала      1
взволновала         1
привела             1
стояла              1
дула                1
треснула            1
задевала            1
глагола             1
осела               1
лежала              1
брала               1
сдирала             1
клала               1
бросала             1
спросила            1
отрезала            1
бормотала           1
вызвала             1
занимала            1
кивнула             1
отзывала            1
обратила            1
глядела             1
взяла               1
прошамкала          1
забыла              1
стала               1
подошла             1
достала             1
стасовала           1
придвинула          1
начала              2
легла               1
протянула           1
запела              1
спрятала            1
подняла             1
стола               1
ухватила            1
тянула              1
звякнула            1
поддерживала        1
воскликнула         1
замолчала           1
вспыхнула           1
пояснила            1
посадила            1
бросила             1
вышла               1
ответила            1
сказала             1
показывала          1
обвивала            1
пожала              1
оставалась          1
расходилась         1
народилась          1
ссорилась           1
срывалась           1
опускалась          1
становилась         1
касалась            1
зашевелилась        1
потянулась          1
колебалась          1
остановилась        1
засуетилась         1
показалась          1
обернулась          1
держалась           1
заключалась         1
выдавалась          1
предложили          1
издали              1
снимали             1
произносили         1
глядели             3
были                6
падали              2
мысли               1
осилили             1
решили              1
диагонали           1
стояли              1
заходили            1
заскрипели          1
прогнали            2
сломали             1
вывели              1
нашли               1
поразили            1
проели              1
напали              1
давили              1
стали               1
